department,program,year,subjects
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,AESTHETICS
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,ANCIENT CHRISTIAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,CONTEMPORARY ITALIAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,CULTURAL ANTHROPOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,DANTEAN PHILOLOGY AND CRITICISM
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,FILM HISTORY AND CRITICISM
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,GEO-RESOURCES FOR THE CULTURAL HERITAGE
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,HISTORY OF CHRISTIANITY
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,HISTORY OF PHILOSOPHY
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,HISTORY OF RELIGIONS
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,HISTORY OF THE ITALIAN LANGUAGE
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,HISTORY OF THEATRE AND PERFORMING ARTS
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,ITALIAN METRICS AND STYLISTICS
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,ITALIAN PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,LATIN PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,MEDIEVAL AND HUMANISTIC LATIN PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,MEDIEVAL ARCHAEOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,ROMAN ARCHEOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,ROMANCE PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3017] HISTORY AND CONSERVATION OF THE ARTISTIC AND MUSICAL HERITAGE,3,THEORY OF LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,1,ARCHIVES AND LIBRARIES
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,1,FINAL EXAM
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,1,HISTORY OF THE ITALIAN LANGUAGE
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,1,ITALIAN LINGUISTICS: LANGUAGE STRUCTURES
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,1,ITALIAN LINGUISTICS: LANGUAGE VARIATIONS AND USAGES
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,1,ITALIAN LITERATURE IN THE MIDDLE AGES
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,1,ITALY IN THE MIDDLE AGES
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,1,MAKING ART IN MEDIEVAL ITALY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,1,READING SKILLS FOR UNIVERSITY ADDITIONAL LEARNING REQUIREMENT
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,1,RENAISSANCE MUSIC: POLYPHONIC PRACTICE
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,1,UNIVERSITIES AND THE SPREAD OF SECULAR LEARNING
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,2,ART IN RENAISSANCE ITALY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,2,EARLY MODERN HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,2,ILLUMINATED MANUSCRIPTS AND SCRIPTORIA
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,2,ITALIAN LITERATURE IN THE RENAISSANCE
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,2,LATIN FOR BEGINNERS
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,2,"THE EARLY MODERN COURT: PAGEANTS, MUSIC, ART AND THEATRE"
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,2,THE EARLY PRINTED BOOK AND THE PRINTING PRESS
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,2,THE ITALIAN LANGUAGE IN THE MIDDLE AGES
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,2,THE ITALIAN LANGUAGE IN THE RENAISSANCE
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,ACADEMIC WRITING IN ITALIAN
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,BETWEEN EAST AND WEST: FROM BYZANTIUM TO RENAISSANCE ITALY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,CHRISTIAN PHILOSOPHY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,DANTEAN PHILOLOGY AND CRITICISM
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,DISSEMINATING AND COMMUNICATING ITALIAN CULTURE
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,ECONOMIC AND SOCIAL HISTORY OF THE MIDDLE AGES
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,ENGLISH LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,FOUNDATIONS OF LATIN PALAEOGRAPHY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,FRENCH LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,GENDER HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,GREEK LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,HISTORY OF ANCIENT MUSIC
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,HISTORY OF ARCHITECTURE
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,HISTORY OF ART TECHNIQUES
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,HISTORY OF CLASSICAL ART
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,HISTORY OF MEDIAEVAL PHILOSOPHY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,HISTORY OF MEDIEVAL AND RENAISSANCE MUSIC
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,HISTORY OF POLITICAL INSTITUTIONS
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,HISTORY OF THE CLASSICAL TRADITION
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,ITALIAN LITERATURE 1
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,ITALIAN LITERATURE 2
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,ITALIAN PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,LATIN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,LATIN PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,MEDIEVAL HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,MEDIEVAL HISTORY SOURCES AND METHODOLOGIES
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,MODERN HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,MODERN HISTORY SOURCES AND METHODOLOGIES
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,MUSEUM STUDIES AND HISTORY OF COLLECTIONS
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,MUSIC THEORY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,MUSICAL ICONOGRAPHY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,THE SURVIVAL OF THE CLASSICAL HERITAGE IN RENAISSANCE ITALY
School of Human and Social Sciences and Cultural Heritage,[SU3018] ITALIAN MEDIEVAL AND RENAISSANCE STUDIES,3,THEORY OF LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,COMPUTER USE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,CONTEMPORARY HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,ENGLISH LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,FINAL EXAM
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,FOREIGN LANGUAGE: ENGLISH
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,FOREIGN LANGUAGE: FRENCH
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,FOREIGN LANGUAGE: GERMAN
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,FOREIGN LANGUAGE: SPANISH
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,FRENCH LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,GENERAL LINGUISTICS
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,GEOGRAPHY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,GERMAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,GREEK HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,GREEK LITERATURE 1
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,ITALIAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,LATIN ADDITIONAL LEARNING REQUIREMENT
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,LATIN LITERATURE 1
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,MEDIEVAL HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,MODERN HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,READING SKILLS FOR UNIVERSITY ADDITIONAL LEARNING REQUIREMENT
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,ROMANCE PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,SPANISH LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,TEST OF WRITTEN LATIN
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,1,WRITTEN ITALIAN
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,ACADEMIC WRITING
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,ADVANCED LINGUISTICS
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,BYZANTINE LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,COMPARATIVE LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,COMPUTER USE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,GREEK GRAMMAR
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,GREEK LITERATURE 2
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,GREEK PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,HISTORY OF THE ITALIAN LANGUAGE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,ITALIAN LITERATURE 2
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,LATIN GRAMMAR
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,LATIN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,LATIN LITERATURE 2
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,LATIN PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,MEDIAEVAL LATIN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,ROMAN HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,ROMANCE PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,ROMANCE PHILOLOGY 2
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,THEORY AND HISTORY OF RHETORIC
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,2,THEORY OF LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,ACADEMIC WRITING
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,ADVANCED LINGUISTICS
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,AESTHETICS
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,ANCIENT CHRISTIAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,COMPARATIVE LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,CONTEMPORARY HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,CONTEMPORARY ITALIAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,CREATIVE WRITING
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,CULTURAL ANTHROPOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,CZECH LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,DANTEAN PHILOLOGY AND CRITICISM
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,DIGITAL HUMANITIES
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,ECONOMY AND SOCIETY IN THE GREEK AND ROMAN WORLD
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,ETHNOMUSICOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,FILM HISTORY AND CRITICISM
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,FILM THEORY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,FOUNDATIONS OF LATIN PALAEOGRAPHY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,GALICIAN LANGUAGE AND LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,GREEK ARCHAEOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,GREEK PALEOGRAPHY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF ANCIENT MUSIC
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF ANCIENT PHILOSOPHY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF CLASSICAL ART
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF CONTEMPORARY ART
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF CONTEMPORARY MUSIC
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF DRAMATURGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF MEDIAEVAL PHILOSOPHY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF MEDIEVAL AND RENAISSANCE MUSIC
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF MEDIEVAL ART
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF MODERN ART
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF MODERN MUSIC
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF PHILOSOPHY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF THE ITALIAN LANGUAGE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF THE ITALIAN LANGUAGE 2
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,HISTORY OF THEATRE AND PERFORMING ARTS
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,INTRODUCTORY COMPUTER SCIENCE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,ITALIAN DIALECTOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,ITALIAN LITERATURE 2
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,ITALIAN METRICS AND STYLISTICS
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,ITALIAN PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,LATIN AMERICAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,LATIN GRAMMAR
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,LATIN PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,LITERARY GEOGRAPHY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,MEDIAEVAL LATIN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,MEDIAEVAL PHILOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,MEDIEVAL HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,METHODOLOGIES FOR TEACHING MUSIC HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,MODERN GREEK LANGUAGE AND LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,MODERN HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,PHILOSOPHY OF LANGUAGE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,POLISH LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,PORTUGUESE-BRAZILIAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,RELIGIONS OF THE CLASSICAL WORLD
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,ROMAN ARCHEOLOGY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,ROMAN HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,ROMANIAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,RUSSIAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,SERBIAN AND CROATIAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,SLOVENIAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,THEATERS OF FIGURES: STORIES AND AESTHETICS
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,THEORY AND HISTORY OF RHETORIC
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,THEORY OF LITERATURE
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,TOOLS AND METHODS FOR GREEK HISTORY
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,"TRAINING, WORK PLACEMENT, SEMINARS"
School of Human and Social Sciences and Cultural Heritage,[SU3019] HUMANITIES,3,WRITTEN ITALIAN
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,COMPUTER USE
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,CONTEMPORARY HISTORY
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,CULTURAL ANTHROPOLOGY
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,CULTURAL GEOGRAPHY
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,CZECH LANGUAGE 1
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,CZECH LITERATURE 1
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,ENGLISH LANGUAGE 1
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,ENGLISH LITERATURE 1
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,ETHNOLOGY
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,FINAL EXAM
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,FRENCH LANGUAGE 1
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,FRENCH LITERATURE 1
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,GENERAL GRAMMAR ADDITIONAL LEARNING REQUIREMENT
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,GENERAL LINGUISTICS
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,GERMAN LANGUAGE 1
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,GERMAN LITERATURE 1
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,HISTORY OF LATIN AMERICA
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,HUMANISTIC GEOGRAPHY
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,HUNGARIAN LANGUAGE 1
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,HUNGARIAN LITERATURE 1
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,ITALIAN LANGUAGE LAB - L2
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,ITALIAN LITERATURE
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,LANGUAGE VARIATION AND LANGUAGE EVOLUTION
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,LATIN AMERICAN LITERATURE 1
School of Human and Social Sciences and Cultural Heritage,"[SU3020] LANGUAGE, LITERATURE AND CULTURAL COMMUNICATION",1,MEDIEVAL HISTORY
